Num,Nom,X,Y,Surface,Altitude
J2723010,La Penze a Taule [Penhoat],"138459","2416959",141.000000000000000,"6"
J3024010,Le Guillec a Trezilide,"127486","2421218",43.000000000000000,"35"
J5704810,Le coet-organ a Quistinic [Kerdec],"186330","2337444",47.700000000000003,"38"
M8205020,L ognon aux Sorinieres [Villeneuve],"306570","2242980",147.000000000000000,"0"
N3024010,Le Louing a chantonnay [St-Philbert du Pont charrault],"346980","2190840",120.000000000000000,"43"
M6013010,L evre a la chapelle-Saint-Florent [Pont Dalaine],"343871","2262224",460.000000000000000,"11"
M3323010,L ernee a andouille [Les Vaugeois],"368397","2356631",375.000000000000000,"63"
M3423010,La Jouanne a Force,"373173","2341528",410.000000000000000,"46"
J4614010,Le Ster Goz a Bannalec [Pont Meya],"145275","2340784",69.700000000000003,"28"
J0626610,Le Neal a Medreac,"274999","2372787",82.000000000000000,"57"
J4514010,Le Moros a concarneau [Pont D 22],"135838","2338745",20.100000000000001,"10"
S2235610,Le Bouron a Belin-Beliet [Moulin du Moine],"352354","1945375",36.000000000000000,"23"
S2224610,Le Grand arriou a Moustey [Biganon],"353858","1939250",108.000000000000000,"28"
S2242510,L eyre a Salles,"344977","1954894",1650.000000000000000,"14"
O0624010,Le Volp a Montberaud [Sainte-croix-Volvestre],"502630","1794306",91.000000000000000,"274"
O2725010,La Lauze a Semezies-cachan [Faget-abbatial],"469855","1834191",36.000000000000000,"187"
O6804630,L osse a castex [Mielan],"436738","1823996",10.199999999999999,"238"
Q5501010,Le Gave de Pau a Berenx [Pont de Berenx],"341740","1839321",2575.000000000000000,"38"
P5715010,L engranne a Baigneaux,"400832","1972527",30.000000000000000,"33"
Q0522520,L arros a Gourgue,"430674","1794338",173.000000000000000,"292"
O1584610,Le Douctouyre a Dun [engravies],"553958","1782472",131.000000000000000,"301"
Q7002910,Le Gave d oloron a oloron-Sainte-Marie [oloron-SNcF],"360293","1804085",1085.000000000000000,"204"
Y1232010,L aude a carcassonne [Pont Neuf],"601914","1801201",1770.000000000000000,"96"
P5404010,L eyraud a la Force [Bitarel],"444310","1989593",73.500000000000000,"32"
Q0214010,L echez a Louey,"411498","1799772",89.599999999999994,"333"
